householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop
2.63,17.79,29.84,18.19,14.33,66049,100.0,23726,72.25,0.63,39.06,35.02,7.54,17.2,30141,12657,9889,16.45,13.61,30.52,21.74,5.97,56.27,19.31,31.2,14.92,27.39,9.43,34.52,12.67,11.25,2.98,64.0,59.7,69.62,69.8,63.78,72.3,2858,5.88,3.95,2.64,2.39,2.52,2.21,61.35,1.83,47.28,3,2090,92.33,58.2,4.31,40.48,1960,7.07,0.29,38200,56900,80300,42100,179,272,353,174,346,24.7,16.9,12.6,47,0,70.07,52.6,73.84,86.06,138,205.48,123,183.14,61164,91072.1,443.2,205.5,8,8,38.7,51.2,1290.5,3.33,62,5585480,89.13,0,5.8,83166.8
2.36,16.31,32.25,18.75,13.77,165121,100.0,19923,72.35,0.54,34.7,30.68,9.69,15.24,26131,12108,32189,20.8,12.59,29.21,21.73,7.11,55.4,12.82,29.18,14.23,27.6,12.18,37.0,15.95,14.23,2.88,62.09,57.18,75.41,64.48,59.22,65.69,5720,4.81,3.15,1.86,2.2,2.4,2.01,54.26,2.29,59.26,2,6480,91.52,49.86,7.04,33.72,1960,6.38,0.28,35900,49800,69600,33700,187,261,343,156,332,26.5,20.4,13.6,354,130,69.57,47.86,77.77,87.92,302,175.62,281,163.41,253782,147582,840.3,175.6,31,8,41.3,80.0,2063.3,1.93,328,16259984,93.05,0,10.26,94556.8
2.49,15.91,31.47,16.94,11.34,405312,99.98,21748,76.14,0.59,36.28,25.85,6.58,16.38,27208,11184,79287,20.16,9.36,21.39,20.71,8.12,58.52,9.49,28.85,10.35,26.28,11.94,36.79,16.19,14.15,3.1,65.86,61.93,74.97,68.55,61.52,68.39,12404,4.29,6.32,3.82,2.42,2.59,2.24,55.14,7.3,62.99,2,20653,88.74,51.44,2.07,22.06,1971,6.88,0.38,52200,66800,85600,33400,260,327,406,146,377,29.6,21.7,12.5,437,102,34.8,41.54,73.61,79.3,745,165.56,685,152.23,516410,114762.6,693.2,165.6,30,9,117.3,161.9,2503.8,4.29,497,46229100,91.95,5,4.03,102735.7
2.34,11.86,25.57,12.29,12.83,437398,100.0,25592,75.66,0.75,43.45,26.59,6.9,15.46,32424,14478,62058,14.53,5.62,17.1,25.95,6.16,62.61,15.11,26.06,14.43,29.23,14.55,35.03,17.45,16.07,2.96,66.43,63.51,76.28,67.2,61.73,70.4,11790,3.97,5.0,2.88,2.27,2.47,2.05,57.6,3.49,56.17,2,11100,94.4,52.98,5.5,30.54,1947,4.47,0.64,44500,59200,83300,38800,269,340,418,149,397,25.8,20.2,14.3,1553,149,47.82,46.0,76.24,85.35,769,167.68,684,149.14,325000,70864.3,422.6,167.7,37,9,130,129.1,3386.2,11.41,345,58562444,88.95,5,4.81,127691.9
2.53,11.6,25.37,11.61,10.78,133107,100.0,47204,82.7,0.67,51.28,20.54,4.3,14.75,55678,22095,6791,5.15,3.85,12.38,31.23,3.95,67.04,25.49,18.92,6.72,37.65,9.77,32.32,13.42,11.64,3.04,79.26,77.43,92.28,78.84,57.54,66.06,1217,1.37,4.13,2.82,2.51,2.7,2.27,60.49,6.41,52.31,2,2312,95.79,56.29,1.56,16.65,1961,1.2,0.27,272900,340000,420200,147300,610,740,935,325,795,26.9,23.1,11.2,0,18,41.72,49.81,82.48,85.95,194,139.65,187,134.62,64800,46647.6,334,139.7,8,8,292.5,21.3,6260.9,1.53,100,23400000,96.39,10,4.12,168449.5
2.66,17.06,34.55,19.17,10.81,130474,100.0,25811,73.04,0.47,37.07,26.28,14.61,12.75,31163,12968,25481,21.29,11.86,28.97,26.7,9.25,56.71,16.41,37.38,14.02,30.0,10.37,50.43,14.2,12.44,3.16,45.44,38.63,53.9,44.87,50.49,60.14,12972,15.07,7.07,4.13,2.41,2.65,2.3,34.96,4.9,67.53,2,5071,90.62,31.78,10.18,32.97,1943,7.53,0.49,110400,145000,189200,78800,332,487,594,262,568,30.0,23.5,14.9,1344,16,53.51,45.53,77.29,81.55,390,326.08,350,292.63,145000,121233.4,371.8,326.1,12,10,167.4,19.5,6679.9,9.54,100,17939552,89.74,5,3.08,149991.2
2.47,23.68,42.67,28.84,7.94,124773,100.0,23453,85.3,0.67,38.24,17.18,4.59,11.89,34764,13247,25518,22.32,5.59,14.48,40.72,5.56,63.45,3.6,33.42,6.23,37.49,9.32,48.87,13.45,11.51,2.93,61.16,57.44,70.74,62.15,72.28,78.45,5233,7.88,3.55,1.92,2.26,2.48,2.08,49.61,4.27,58.18,2,4779,91.35,45.17,2.24,16.91,1974,3.43,0.27,52100,72400,99000,46900,265,353,449,184,444,31.2,19.4,12.8,148,30,48.67,34.91,58.18,81.03,288,212.14,275,202.56,280695,206759.8,974.6,212.1,19,7,109.8,65.6,1903.4,2.82,218,18107294,95.49,5,6.6,133378.2
2.59,16.05,28.26,15.37,13.59,70487,100.0,21407,69.94,0.31,30.37,31.35,14.47,20.99,26838,10648,13999,20.87,9.79,31.67,10.88,8.74,53.25,23.26,27.3,21.54,21.14,12.56,30.85,15.9,14.39,3.06,62.98,58.23,65.59,60.85,59.71,65.42,2855,5.0,4.94,3.37,2.47,2.53,2.41,56.97,2.14,51.98,2,2315,92.17,55.8,8.42,46.39,1946,8.94,0.58,31300,42000,58600,27300,180,247,316,136,351,27.6,17.1,13.1,2,8,78.59,50.9,84.72,91.94,101,142.86,94,132.96,108785,153872.8,1077.1,142.9,6,9,52.8,20.2,3485.1,1.06,45,5653511,93.07,0,5.94,79967.1
2.86,14.46,31.22,15.72,8.96,3485398,100.0,30925,78.71,0.61,33.34,19.53,10.68,10.5,34364,16188,643809,18.86,18.4,33.0,22.96,8.34,61.71,18.43,21.42,15.86,27.29,9.92,43.23,14.61,12.26,3.48,65.54,59.78,74.48,69.13,54.81,60.83,212238,9.32,14.44,9.19,2.8,2.87,2.76,40.31,22.26,72.02,2,82558,93.65,39.42,2.93,21.03,1959,4.11,0.98,164100,244500,388400,224300,413,544,709,296,600,30.4,25.3,11.9,4597,3109,35.47,46.34,81.86,85.0,8295,239.31,7683,221.65,5480855,158122.41,660.7,239.3,406,13,80.1,486.2,7168.1,10.92,2482,488050464,92.62,5,4.89,140802.3
2.36,13.38,26.71,13.31,14.25,177196,100.0,22192,70.42,0.72,40.84,30.25,10.99,18.11,28778,12375,29863,17.34,5.74,16.79,21.03,8.12,55.06,10.77,28.88,12.42,26.95,13.7,30.89,17.67,15.82,2.94,63.8,62.52,72.11,67.01,57.16,65.71,4071,3.0,4.16,2.52,2.29,2.46,2.06,61.6,2.52,53.68,2,4728,94.08,57.23,5.54,35.03,1952,4.96,0.8,38700,51100,70600,31900,208,278,347,139,344,28.2,19.3,12.6,259,56,52.41,46.37,79.52,86.38,240,122.48,218,111.25,137000,69913.7,570.8,122.5,16,9,136.1,57.9,3058.9,4.41,80,17430772,90.83,10,6.67,88952.5
2.63,23.19,43.75,28.97,6.29,109592,100.0,33344,86.61,0.81,60.29,14.36,3.2,10.07,50192,17786,15624,16.08,2.22,6.08,64.22,3.81,64.65,10.56,53.07,4.53,47.65,5.81,54.22,10.29,8.09,2.94,75.87,75.13,89.53,71.98,63.75,72.82,1258,2.58,3.19,2.59,2.32,2.59,2.13,48.08,3.19,57.98,2,2353,94.65,43.2,1.1,27.33,1963,1.05,0.15,86200,116400,161700,75500,426,529,657,231,568,30.0,20.4,12.9,195,4,51.16,32.91,55.4,75.63,170,155.36,149,136.17,58438,53405.1,343.8,155.4,10,10,158.8,26.8,4085.0,5.7,39,10840000,87.65,0,5.88,99064.2
2.81,13.67,29.54,14.16,9.09,58012,100.0,25655,78.71,0.44,24.77,20.77,13.18,9.8,27288,11089,10513,18.18,28.42,49.46,10.71,10.87,60.52,29.24,13.43,32.79,14.66,11.58,37.55,17.32,14.53,3.29,59.81,56.12,66.57,61.43,53.42,60.06,3156,8.03,8.4,6.05,2.8,2.84,2.79,22.08,16.96,78.25,2,1980,91.24,21.76,2.37,36.21,1940,11.73,1.74,108200,150400,189700,81500,339,451,579,240,505,27.5,28.5,13.0,189,25,25.9,54.33,79.63,81.87,161,284.45,142,250.88,62373,110199.6,387.4,284.5,8,6,45,1.3,44229.9,27.8,50,12945918,88.2,0,4.97,228726.5
2.61,15.83,29.26,14.58,9.58,140761,100.0,20176,65.55,0.22,27.04,27.15,23.81,19.86,25083,10415,42218,30.58,8.86,30.71,10.31,18.29,45.96,29.48,24.76,25.91,18.45,15.31,39.75,20.1,17.92,3.17,42.57,39.1,47.34,47.15,50.33,57.44,14962,12.65,6.9,4.58,2.56,2.59,2.52,58.81,4.38,49.86,3,4830,91.78,58.09,20.85,45.28,1953,10.3,0.5,25600,33900,43900,18300,236,300,351,115,375,35.1,16.7,14.2,83,11,68.81,55.55,91.37,94.85,311,223.85,286,205.85,133520,96103.2,429.3,223.8,45,5,102.9,35.1,4015.8,2.43,92,16031000,91.96,5,14.47,115385.7
3.28,29.2,49.87,35.94,8.48,41711,100.0,28289,78.65,0.72,33.31,25.0,10.16,11.84,32966,11252,7561,21.96,15.92,34.0,23.41,8.85,57.84,15.94,32.03,15.01,23.85,7.62,61.76,9.73,8.74,3.25,50.14,42.94,59.12,44.96,67.51,73.06,2757,12.96,10.59,6.86,2.7,2.71,2.69,32.54,10.53,65.85,2,845,93.77,32.33,7.46,31.01,1949,8.98,1.69,95600,126700,157000,61400,407,569,723,316,640,29.9,28.0,18.9,105,17,50.29,38.48,60.05,83.44,124,298.94,114,274.83,50000,120540,403.2,298.9,6,11,77.4,5.4,7709.4,12.35,49,6741975,91.94,0,4.84,162535.59
2.44,13.0,27.51,13.44,13.15,280015,100.0,22772,75.21,0.42,32.56,28.72,9.46,14.7,27662,13277,52557,19.44,11.47,29.37,18.7,6.54,60.13,9.91,23.42,13.4,25.73,15.01,34.1,18.14,16.66,3.01,58.62,51.4,63.27,60.73,63.78,70.03,15174,7.25,5.15,3.13,2.35,2.46,2.22,57.93,6.03,59.72,2,14881,88.52,55.46,5.31,31.03,1963,10.12,0.71,43000,59000,86800,43800,236,334,416,180,408,27.2,21.9,13.0,423,140,44.91,47.85,77.94,84.29,824,284.25,737,254.24,631254,217762.41,766.1,284.3,41,14,67.3,112.6,2487.1,3.3,644,49266060,89.44,10,4.98,169952.09
2.5,13.17,31.03,14.35,8.72,1006831,100.0,27489,82.88,0.86,34.27,19.32,5.77,9.85,31925,16300,177790,17.97,12.32,26.55,27.12,7.43,65.59,14.1,20.4,13.63,28.29,13.17,37.01,17.88,15.58,3.24,63.68,57.49,75.51,64.88,61.35,67.59,49587,7.28,9.13,5.42,2.46,2.7,2.28,48.31,9.76,65.16,2,63540,86.35,44.1,12.32,33.53,1968,8.02,0.57,50600,78800,137200,86600,307,375,469,162,426,24.2,21.1,13.0,1200,293,59.5,44.14,79.44,88.73,2635,252.86,2083,199.89,1532490,147059.59,581.6,252.9,90,9,98.7,354.7,2838.4,6.68,895,152097264,79.05,5,3.42,145954.3
2.5,13.96,28.24,14.44,15.0,78380,100.0,22112,70.92,0.23,35.07,33.29,11.99,17.34,27277,11041,14857,19.41,16.1,41.57,8.52,8.63,56.74,29.52,19.46,26.73,15.93,12.3,35.98,15.56,14.07,3.1,55.5,49.62,60.51,59.62,59.54,64.73,5395,8.86,6.74,4.2,2.44,2.55,2.3,58.42,4.07,44.82,3,2873,91.62,55.92,9.05,42.15,1939,6.52,0.75,27500,37700,52900,25400,217,292,374,157,352,26.7,17.4,13.5,172,0,76.71,55.06,86.36,90.72,158,201.59,136,173.52,59771,76262.8,378.3,201.6,10,9,228.2,10.1,7732.5,7.29,53,8284513,86.08,10,6.33,105703.5
2.67,13.22,26.57,12.67,10.49,87425,100.0,32165,76.1,0.48,33.3,23.99,15.69,17.29,36657,14630,13909,16.1,9.43,23.31,22.15,9.43,58.46,11.16,26.97,12.34,27.63,13.3,36.25,18.5,16.07,3.22,54.71,49.56,64.48,57.97,60.93,67.87,5014,7.61,8.56,5.77,2.63,2.68,2.58,55.41,9.88,60.13,2,1783,94.84,54.47,9.87,26.02,1957,3.37,0.66,101200,144300,194000,92800,371,506,645,274,566,29.6,24.3,12.1,186,130,50.88,51.11,74.41,91.6,179,202.52,153,173.1,160000,181024.09,893.9,202.5,29,8,125,30.8,2838.8,13.14,68,13993299,85.47,10,16.2,158320.3
2.57,12.14,33.06,15.62,7.44,96357,100.0,40313,86.31,0.71,40.97,15.87,4.31,10.28,45266,18750,8614,9.17,7.4,16.52,27.26,4.17,74.47,19.19,19.72,9.72,30.69,12.48,42.3,17.63,15.0,3.08,71.03,67.31,84.89,70.11,65.53,70.72,1706,3.12,8.6,5.1,2.51,2.6,2.45,41.65,9.87,62.61,2,2144,94.59,40.17,0.7,6.86,1968,1.62,0.5,211300,257000,313900,102600,651,759,921,270,810,28.6,24.3,11.3,225,26,42.58,38.03,73.97,83.94,141,142.54,129,130.41,64391,65092.7,456.7,142.5,9,9,15.7,16.1,5980.4,3.03,52,10448205,91.49,5,6.38,105620.6
2.7,13.82,31.13,15.56,9.56,429433,100.0,31938,77.65,0.52,35.44,21.04,11.35,13.73,36305,15639,69694,16.82,11.53,24.49,23.22,6.54,62.93,20.42,22.77,13.21,28.85,11.64,41.43,15.94,13.78,3.36,64.25,60.26,71.53,67.31,50.26,57.56,20207,7.4,11.98,7.18,2.61,2.55,2.65,40.03,16.49,74.38,2,11413,93.3,40.96,3.39,16.67,1955,4.28,0.73,168700,222900,292600,123900,435,551,694,259,605,30.0,25.1,11.4,394,66,40.92,40.38,77.16,84.29,643,147.47,598,137.15,608430,139537.3,946.2,147.5,27,8,277,51.8,8287.7,6.3,192,80872872,93,5,4.2,185473.8
2.47,15.93,28.36,16.25,14.85,85493,100.0,23370,70.64,0.43,45.16,32.25,9.7,18.09,31431,12484,13578,16.57,6.48,18.58,22.51,7.22,55.07,8.4,33.9,11.06,28.55,9.25,35.33,12.13,10.8,2.97,69.42,69.45,76.46,73.91,58.21,69.97,1889,2.84,3.17,2.09,2.36,2.58,1.94,70.69,1.35,50.05,2,1459,95.95,64.45,2.33,36.19,1939,2.79,0.29,34200,46300,65100,30900,203,287,390,187,312,29.4,15.5,12.4,303,2,75.95,54.5,81.66,92.46,125,147.44,121,142.72,45424,53578,363.4,147.4,7,9,65.4,70.0,1220.6,5.85,36,8403629,96.8,10,5.6,99121.6
2.94,16.71,27.43,12.9,6.39,79443,100.0,43428,87.41,0.34,47.14,16.88,2.15,9.04,49856,18319,4087,5.16,3.42,10.81,31.47,3.85,72.25,9.84,21.44,6.2,32.87,7.37,27.41,11.81,9.68,3.34,81.78,81.54,91.14,83.5,60.56,70.12,806,1.66,4.02,3.18,2.94,3.16,2.58,67.04,3.69,42.47,3,2771,90.7,62.4,0.47,23.78,1982,1.05,0.22,127700,160200,207500,79800,497,576,678,181,661,27.9,26.1,13.8,0,1,18.21,33.35,61.84,68.53,153,162.72,123,130.81,73000,77638.1,477.1,162.7,10,9,58.8,24.3,3265.0,0.78,143,16227636,80.39,5,6.54,172586.7
2.49,13.29,27.17,12.7,10.67,439140,98.74,25741,78.45,1.23,36.45,23.53,6.57,14.88,31587,13528,69096,15.86,7.06,21.78,21.57,7.06,62.66,12.02,22.56,13.18,26.33,13.7,27.65,17.19,15.53,3.06,68.95,64.48,75.15,71.96,63.09,70.22,14599,4.42,4.94,3.24,2.44,2.54,2.28,62.09,4.13,52.24,2,33705,84.13,59.51,11.03,50.46,1967,7.67,0.7,35800,54900,79200,43400,218,282,363,145,364,25.1,20.6,12.5,1016,234,62.21,46.68,78.69,89.51,863,185.1,751,161.08,476073,102110.8,551.6,185.1,30,13,33.5,630.0,705.8,0.89,616,44585460,87.02,5,3.48,95629.3
2.55,11.36,23.9,11.29,17.89,36701,100.0,35911,74.02,0.3,47.87,35.94,6.09,20.49,42634,16308,2049,5.63,13.14,31.78,12.16,6.69,59.11,23.78,17.99,18.8,19.77,8.28,31.38,10.24,9.33,3.09,73.35,69.1,86.42,72.98,56.98,68.58,1058,3.99,4.9,3.39,2.53,2.68,2.31,64.64,3.18,48.67,3,548,96.33,61.22,1.09,40.15,1953,2.09,0.1,126500,151800,175800,49300,411,528,637,226,594,25.1,23.5,15.4,0,0,62.65,68.53,88.45,94.29,124,337.39,116,315.62,30000,81626,241.9,337.4,12,9,124.2,11.2,3278.7,5.81,41,4967234,93.55,0,9.68,135151.8
2.73,22.64,39.91,26.62,9.28,80277,100.0,23207,75.55,0.62,40.35,23.76,13.37,13.75,29869,11956,18621,26.23,6.86,20.41,29.79,9.17,56.5,17.61,33.84,13.01,28.8,10.26,49.1,13.6,12.06,3.03,57.08,53.51,63.47,55.54,58.67,66.93,4713,9.05,5.65,3.42,2.41,2.58,2.25,50.72,3.25,55.9,2,2079,93.4,47.36,5.77,34.15,1953,6.94,0.25,32400,48600,72800,40400,273,357,447,174,403,30.1,17.8,14.4,192,0,68.59,37.68,67.15,89.14,240,292.33,204,248.48,100000,121804.2,416.7,292.3,20,10,93.8,25.5,3153.6,2.49,107,19779856,85,0,8.33,240926.91
