murdPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,nonViolPerPop,arsonsPerPop
13.57,510.93,425.11,1541.97,2962.17,852.78,5451.18,94.26
15.58,441.31,781.38,1390.13,5310.02,661.97,7364.72,2.6
0.0,92.82,28.25,698.17,2255.94,318.82,3285.04,12.11
3.24,148.86,422.31,1847.81,4818.54,440.11,7289.29,182.84
7.46,251.87,221.08,1030.79,3267.75,678.18,5005.64,28.92
11.43,238.85,149.92,1067.21,3196.54,701.31,4981.58,16.52
10.84,646.84,779.99,1710.64,4749.14,573.46,7194.74,161.5
12.68,497.88,443.66,1363.6,3325.01,1037.86,5790.44,63.98
17.95,344.55,366.08,1624.94,6759.08,751.91,9176.31,40.38
0.0,307.81,416.91,1576.08,7477.11,933.18,10025.33,38.96
10.98,437.59,694.81,2401.27,6518.4,588.16,9584.68,76.85
8.58,142.33,423.97,1282.5,4000.95,307.88,5655.94,64.6
7.28,351.19,460.37,1766.87,4787.47,658.71,7276.73,63.69
8.35,616.2,1563.6,2422.5,6487.65,1005.29,9956.08,40.63
40.84,1209.17,1257.97,2215.96,5036.91,2061.34,9420.56,106.36
18.28,531.76,1395.68,2815.74,5483.69,1081.81,9425.42,44.19
4.82,265.85,337.13,979.61,3077.53,1339.86,5478.87,81.87
9.2,377.31,921.81,1766.93,4431.12,610.45,6883.65,75.16
14.06,295.8,644.2,1900.83,4425.56,830.64,7215.88,58.85
5.73,459.68,661.33,1971.58,3851.41,450.13,6316.12,43.01
36.89,2264.13,1528.25,2643.41,4004.12,4224.31,10942.54,70.71
20.48,1541.82,1259.13,2365.31,2654.83,2014.34,7166.95,132.47
8.66,141.43,366.58,1284.46,5997.98,366.58,7709.63,60.61
2.5,138.07,197.13,1148.67,5382.36,311.91,6890.36,47.41
14.69,424.55,401.19,2830.35,4294.25,2080.04,9460.97,256.33
20.64,514.42,373.12,2311.73,7513.14,1386.09,11250.65,39.69
0.0,106.62,115.36,851.23,4537.59,328.61,5743.65,26.22
1.99,153.58,39.89,895.55,2652.73,789.84,4374.02,35.9
1.26,35.23,232.8,600.23,3236.48,421.55,4279.66,21.39
0.0,177.45,57.71,871.37,1367.65,1097.87,3348.43,11.54
16.81,236.96,331.53,1213.17,4072.97,547.48,5857.78,24.17
0.0,46.89,108.1,802.29,2149,441.52,3413.65,20.84
2.36,552.06,401.07,2479.53,9167.91,1986.46,13650.41,16.51
7.11,264.17,265.35,1352.82,3316.91,335.24,5166.08,161.11
3.77,97.95,60.28,450.19,3100.45,435.12,3987.64,1.88
13.4,265.26,456.84,1764.37,4915.33,722.09,7431.27,29.47
25.42,585.59,440.83,1530.41,5550.38,891.1,8027.25,55.36
44.69,630.15,1682.13,2448.21,5513.28,1309.06,9349.97,79.42
45.09,1172.43,637.32,2745.44,2870.95,2695.09,8455.77,144.3
9.32,150.34,314.66,1001.07,3660.5,363.6,5063.63,38.46
5.81,184.76,538.02,1089.99,3854.47,262.62,5227.99,20.92
33.82,471.17,299.83,2838.27,5216.65,1201.59,9292.57,36.07
0.0,163.78,120.94,758.42,2003.12,1133.84,3897.9,2.52
1.77,127.73,331.75,659.96,2446.47,624.48,3738,7.1
6.57,335.02,1090.46,1688.23,6936.87,1156.15,9794.39,13.14
15.14,298.4,171.37,1096.31,5414.49,965.48,7553.59,77.3
13.01,635.06,478.96,2010.43,4623.99,750.95,7475.25,89.88
10.91,339.48,796.22,1461.55,4759.57,1087.98,7311.82,2.73
1.14,45.59,139.04,1079.29,5012.37,329.37,6441.54,20.51
3.71,153.8,292.78,1458.35,4186.05,252.02,5957.57,61.15
12.25,303.48,659.35,1365.64,2399.91,1343.19,5153.64,44.91
11.49,401.72,715.43,1259.58,3270.25,1668.64,6219.62,21.16
22.0,297.93,297.33,1786.78,6129.01,1179.72,9191.32,95.81
30.73,1279.69,1445.66,1660.84,4411.72,1470.57,7604.09,60.95
5.95,167.59,277.33,1314.33,4262.87,432.16,6058.7,49.34
21.29,444.03,2031.57,1943.37,3530.91,1496.3,6982.76,12.17
8.14,170.93,227.9,594.17,2702.26,122.09,3418.53,0
60.06,776.83,694.62,2501.32,5696.27,1090.42,9371.69,83.69
1.95,272.74,118.84,794.84,2951.43,1523.45,5287.25,17.53
11.28,351.5,440.47,1769.39,3983.63,358.39,6184.09,72.68
5.33,678.12,362.14,1034.94,3308.95,1194.7,5547.47,8.88
4.45,186.75,304.13,1426.4,4308.54,780.78,6542.41,26.68
24.16,1000.84,1183.61,2921.19,7104.9,2120.04,12328.9,182.78
7.7,300.07,1432.22,1179.6,4668.1,603.79,6499.74,48.25
19.32,278.2,230.87,1753.23,4788.31,1330.14,7883.27,11.59
16.66,545.48,1184.47,2104,6102.41,1254.88,9547.28,85.99
2.16,89.83,51.95,722.96,2339.88,422.09,3498.99,14.07
6.89,343.46,722.21,1495.21,3867.57,841,6251.13,47.34
34.03,585.33,445.81,1769.61,4097.33,435.6,6333.16,30.63
0.0,43.57,393.9,816.85,2029.41,319.48,3165.73,0
19.63,582.83,477.87,2227.21,5921.31,1332.91,9531.77,50.35
1.98,158.38,199.96,821.6,2850.86,623.63,4329.75,33.66
25.22,646.14,226.68,1325.37,4105.12,1705.31,7218.05,82.25
2.17,73.17,387,858.55,2138.23,446.62,3470.5,27.1
12.96,844.73,1079.18,2014.63,3072.61,2181.93,7289.2,20.03
81.95,1282.85,1625.09,2081.59,5679.78,1454.87,9252.35,36.1
3.4,134.8,277.54,634.37,2419.66,463.31,3533.2,15.86
7.97,812.3,770.44,2375.11,7888.81,1157.16,11484.87,63.79
50.21,1495.04,2359.67,3256.69,7728.45,2279.29,13325.77,61.33
14.02,473.79,624.34,1822.1,3562.28,1413.25,6844.87,47.23
3.84,145.92,714.22,869.73,1578.19,754.54,3202.46,0
2.96,209.15,874.09,1481.82,4505.63,365.03,6390.96,38.48
0.0,35.78,259.63,425.23,2882.56,261.29,3595.71,26.63
5.96,177.07,92.79,1355.29,6063.03,593.36,8062.76,51.08
0.0,167.75,309.94,535.2,1848.45,397.81,2789.45,7.99
10.14,470.19,1259.76,2311.67,2916.2,1982.16,7210.03,0
3.09,111.35,278.38,685.65,2519.9,740.3,3967.5,21.65
0.0,53.43,881.55,678.23,2045.09,347.28,3076.53,5.94
9.32,151.22,597.64,2039.42,5887.29,439.16,8426.98,61.11
2.56,199.37,246.23,1230.28,2584.09,836.66,4686.81,35.78
12.21,97.65,335.67,1031.43,4314.92,543.18,5932.26,42.72
0.0,64.32,700.33,600.28,1866.94,641.37,3115.73,7.15
1.15,215.77,381.92,716.54,5856.9,1334.99,7928.05,19.62
18.41,530.66,1029.08,2227.35,4702.36,1330.05,8316.74,56.98
8.8,1100.38,864.46,1844.23,2786.59,1608.75,6265.54,25.97
9.23,374.82,407.11,1485.45,4629.33,546.66,6709.88,48.44
59.51,1393.57,2196.98,2355.68,4131.12,2866.49,9427.69,74.39
18.75,768.17,588.53,3521.48,8756.53,1890.79,14206.91,38.11
1.25,56.12,226.37,822.54,2939.69,262.54,4036.62,11.85
8.57,403.01,983.22,2975.39,5419.16,634.52,9049.08,20.01
26.49,384.05,817.28,2565.36,6165.58,442.7,9192.55,18.92
5.88,121.45,121.45,644.47,5196.87,11.75,5870.71,17.63
1.86,135.69,308.54,1330.83,3890.26,578.06,5817.74,18.59
6.77,200.85,560.81,1441.52,4140.62,898.76,6641.13,160.23
39.78,490.56,1133.6,1615.87,6370.67,1277.78,9363.76,99.44
7.89,329.78,292.94,807.79,4983.55,849.89,6668.42,27.19
5.01,20.02,85.1,270.32,2042.45,115.14,2432.92,5.01
7.09,374.31,408.2,1802.21,5437.35,1026.79,8282.9,16.55
22.55,784.71,391.51,1299.68,3669.03,1833.81,6896.95,94.42
0.0,96.79,98.14,588.82,1884.76,604.95,3085.26,6.72
10.38,251.77,635.93,1521.03,4333.38,351.71,6241.16,35.04
9.11,814.31,1788.62,2902.11,6665.37,1453.01,11058.21,37.72
5.21,209.74,164.15,1192.03,5947.11,600.57,7817.87,78.17
6.54,123.7,488.28,1628.98,5561.37,385.98,7617.37,41.04
8.74,289.17,296.57,1182.9,3412.87,1209.8,5849.28,43.71
20.11,694.52,779.43,2396.4,5493.14,1651.83,9600.36,58.99
4.65,134.71,330.58,972.38,4145.8,476.13,5650.82,56.52
33.53,1869.98,1871.83,3241.71,8415.45,2951.52,14679.18,70.5
11.91,369.78,1151.97,1953.47,4896.67,852.49,7757.66,55.04
19.99,837.31,657.41,2052.19,3573.57,941.7,6603,35.54
2.5,88.2,141.45,502.56,2967.09,431.83,3942.26,40.77
7.4,577.38,940.1,2115.22,7766.9,460.8,10389.18,46.26
1.9,83.02,148.3,1019.72,3398.23,609.05,5041.57,14.58
6.12,92.88,273.54,1149.3,3557.1,346.01,5078.95,26.54
11.14,198,1083.43,1590.8,6188.71,587.81,8405.06,37.74
12.12,181.39,530.28,1639.32,6742.22,595.86,9053.65,76.26
4.49,412.81,1063.42,2594.62,6951.52,879.46,10452.52,26.92
5.27,231.92,249.05,1332.21,6178.76,1104.24,8631.03,15.81
13.59,529.94,1039.29,2048.51,3967.32,1466.69,7621.71,139.18
2.72,304.79,253.08,1630.07,2585.25,990.56,5284.79,78.92
35.09,682,1264.56,2422.68,6650.37,756.87,9898.93,69.02
1.81,39.86,295.33,665.85,3143.54,176.65,4012.32,26.27
7.13,179.28,211.08,883.8,2718.28,268.65,3922.8,52.08
28.47,515.98,733.04,2300.55,7522.6,807.77,10780.37,149.46
31.58,713.84,509.07,1645.85,4792.12,1198.03,7757.52,121.53
19.79,285.21,511.05,1805.67,2965.3,616.1,5422.59,35.52
12.46,465.05,700.9,1102.01,4022.72,651.08,5828.13,52.32
30.99,674.65,2233.8,2559.15,4657.75,345.07,7746.48,184.51
8.93,534.61,846.99,1608.3,4197.46,1026.38,6903.54,71.4
5.36,115.62,437.21,1209.8,3337.67,275.65,4872.89,49.77
11.02,280.28,728.24,2199.4,6595.76,646.24,9484.24,42.84
4.99,208.65,261.57,663.9,2551.76,990.36,4319.83,113.81
14.2,812.86,1084.9,3250.34,10179.29,2634.14,16092.17,28.41
38.19,423.1,779.87,2398.91,6926.39,755.25,10191.1,110.55
3.73,16.16,32.32,472.43,2405.67,330.7,3252.32,43.51
13.52,396.22,399.23,1591.4,4837.33,375.18,6852,48.09
18.18,548.17,977.88,2039.99,3846,1397.43,7349.19,65.78
33.73,867.95,608.39,1622.18,2725.65,2054.24,6534.58,132.51
8.74,160.24,1431.47,1298.42,3534.98,295.23,5183.01,54.38
3.16,87.33,363.02,878.61,4004.76,550.31,5454.72,21.04
26.69,645.25,393.1,1009.28,3069.91,1354.14,5601.65,168.33
3.24,126.31,93.92,684.99,3334.25,429.13,4516.38,68.01
3.94,171.95,326.84,1147.24,4293.61,740.32,6195.61,14.44
9.18,181.82,581.02,1168.35,4830.54,998.57,7045.06,47.61
4.17,67.68,121.83,865.31,2646.95,723.69,4264.07,28.11
5.05,144.74,94.96,748.01,3397.57,274.11,4465.56,45.88
14.55,316.57,725.06,1898.95,4456.27,1433.72,7817.4,28.46
0.0,96.85,106.54,846.79,2985.9,586.66,4426.27,6.92
21.72,532.15,450.7,2079.71,3893.35,781.93,6798.44,43.44
9.75,895.45,1697.26,3281.37,7163.62,2183.03,12667.04,39.02
13.86,185.9,681.25,1457.17,4197.17,374.11,6066.55,38.1
5.73,57.27,147,1011.84,3587.25,414.28,5064.91,51.55
4.97,116.81,123.02,1153.15,3666.98,364.09,5197.89,13.67
12.61,502.57,817.66,1740.53,7373.97,1283.52,10458.26,60.23
7.59,145.76,1014.23,1291.32,3555.87,842.66,5748.3,58.45
34.59,449.66,1146.89,2301.07,6326.12,522.47,9213.38,63.72
0.0,102.36,119.02,549.9,2709.01,307.08,3601.69,35.71
1.11,62.28,567.21,371.47,786.32,466.01,1623.79,0
0.0,124.89,151.38,985.85,3256.51,883.67,5144.94,18.92
